metric_desc,metric_val_30,metric_val_25,metric_val_20,metric_val_15,metric_val_10,metric_val_5,metric_val_0
clicked:passwordresetemail:Corporate External,29.5400,29.7500,29.9300,31.2000,30.3800,30.5000,30.5800
clicked:sessionnotealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:welcomeemail:Corporate External,22.4500,18.1300,18.7400,18.0100,18.9100,18.2600,18.3100
clicked:exhibitoropportunityemail:Corporate Internal,,,0.0000,30.0000,35.0000,35.0000,35.0000
clicked:dailydigestemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:unknownemail:Expo,,,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:messagealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:dailydigestemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:exhibitoropportunityemail:Expo,8.8400,12.0600,13.7600,20.2900,20.7700,20.7700,21.1500
clicked:leadsreportemailemail:Corporate External,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
clicked:beaconmessageinfoemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:passwordresetemail:Unknown,30.6800,28.0400,27.3600,27.9900,26.9900,26.8800,27.2100
clicked:sessionnotealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:welcomeemail:Unknown,10.8500,21.8100,21.9300,22.2700,22.1100,22.3700,17.7400
clicked:setupleadscanningcalltoactionemail:Unknown,0.0000,0.0000,28.5700,42.8600,50.0000,50.0000,50.0000
clicked:exhibitoropportunityemail:Conference,22.7300,22.2200,22.2200,23.9100,23.9100,23.9100,25.5300
clicked:messagealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:dailydigestemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:passwordresetemail:No Event Type,32.0600,31.5300,32.8900,32.7700,32.3300,32.4100,32.3700
clicked:beaconmessageinfoemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:welcomeemail:No Event Type,20.0400,20.8000,15.9600,15.3900,15.5700,16.5100,16.7200
clicked:setupleadscanningcalltoactionemail:No Event Type,40.0000,72.7300,72.7300,72.7300,72.7300,72.7300,72.7300
clicked:sessionnotealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:welcomeemail:Corporate Internal,21.1200,23.8300,23.8900,22.8100,25.4300,25.5300,25.6600
clicked:setupleadscanningcalltoactionemail:Corporate Internal,,,,,0.0000,0.0000,0.0000
clicked:passwordresetemail:Corporate Internal,27.8500,28.1700,26.8800,26.3200,24.9100,25.1100,25.4000
clicked:dailydigestemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:leadsreportemailemail:Expo,,33.3300,30.7700,41.1800,38.8900,36.8400,30.4300
clicked:sessionnotealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:beaconmessageinfoemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:messagealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:leadsreportemailemail:Conference,50.0000,50.0000,11.7600,11.4300,11.4300,11.4300,11.1100
unsubscribed:dailydigestemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:setupleadscanningcalltoactionemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:leadsreportemailemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
